Identifier,Age,Schooling,Choice,Wage
202,21.0,12.0,white_collar,15805.863214562907
202,22.0,12.0,white_collar,23075.626255710573
202,23.0,12.0,home,
202,24.0,12.0,home,
202,25.0,12.0,blue_collar,11129.031237636227
202,26.0,12.0,schooling,
206,16.0,9.0,home,
206,17.0,9.0,blue_collar,7324.962464247935
206,18.0,9.0,white_collar,13995.810125447557
206,19.0,9.0,white_collar,13557.652088339015
206,20.0,9.0,white_collar,17536.292183611768
206,21.0,9.0,blue_collar,12940.62339112659
206,22.0,9.0,blue_collar,23764.43541102855
206,23.0,9.0,blue_collar,
207,16.0,9.0,blue_collar,7646.949476403872
207,17.0,9.0,blue_collar,8343.255559174346
207,18.0,9.0,blue_collar,12551.381901389228
207,19.0,9.0,white_collar,11451.646877102969
207,20.0,9.0,blue_collar,8508.494684716283
207,21.0,9.0,blue_collar,12085.381315814635
207,22.0,9.0,blue_collar,13870.65027497278
207,23.0,9.0,blue_collar,15125.076430601015
207,24.0,9.0,blue_collar,17590.64565327911
210,16.0,11.0,home,
210,17.0,11.0,schooling,
210,18.0,12.0,schooling,
210,19.0,13.0,schooling,
210,20.0,14.0,schooling,
210,21.0,15.0,white_collar,9300.282920206228
210,22.0,15.0,blue_collar,16302.37655296197
210,23.0,15.0,blue_collar,15033.20369604399
210,24.0,15.0,white_collar,19663.701830198275
212,16.0,10.0,schooling,
212,17.0,11.0,schooling,
212,18.0,12.0,blue_collar,15984.729941921994
212,19.0,12.0,blue_collar,24822.245820607423
212,20.0,12.0,blue_collar,29699.235693180155
212,21.0,12.0,blue_collar,27977.85112790545
212,22.0,12.0,white_collar,26474.653312204697
212,23.0,12.0,blue_collar,38950.2743433649
212,24.0,12.0,blue_collar,36579.26589584115
212,25.0,12.0,blue_collar,37060.01487609251
212,26.0,12.0,white_collar,41510.014709371295
213,16.0,10.0,schooling,
213,17.0,11.0,schooling,
213,18.0,12.0,schooling,
213,19.0,13.0,schooling,
213,20.0,14.0,schooling,
213,21.0,15.0,schooling,
213,22.0,16.0,white_collar,31844.298475318796
213,23.0,16.0,white_collar,27244.507273110303
213,24.0,16.0,white_collar,28601.08998474835
214,16.0,11.0,schooling,
214,17.0,12.0,blue_collar,17883.99767242189
214,18.0,12.0,schooling,
214,19.0,13.0,blue_collar,25098.836273870522
